Identifier,Mnemonic,Period,IQ_COMPANY_NAME,IQ_COMPANY_ID,IQ_ULT_PARENT,IQ_TOTAL_REV,AsOfDate,IQ_NI,IQ_EBITDA,IQ_EBIT,IQ_TOTAL_ASSETS,IQ_TOTAL_LIAB,IQ_CASH_EQUIV,IQ_MARKETCAP,IQ_REVENUE_EST_CIQ,IQ_EBITDA_EST_CIQ,IQ_EPS_EST_CIQ
AAPL,IQ_COMPANY_NAME,,Apple Inc.,,,,,,,,,,,,,,
AAPL,IQ_COMPANY_ID,,,IQ24937,,,,,,,,,,,,,
AAPL,IQ_ULT_PARENT,,,,Apple Inc.,,,,,,,,,,,,
AAPL,IQ_TOTAL_REV,IQ_FY,,,,391035,05/28/2025,,,,,,,,,,
AAPL,IQ_TOTAL_REV,IQ_FY-4,,,,274515,,,,,,,,,,,
AAPL,IQ_TOTAL_REV,FY2021,,,,365817,,,,,,,,,,,
AAPL,IQ_TOTAL_REV,IQ_FY-3,,,,365817,,,,,,,,,,,
AAPL,IQ_TOTAL_REV,FY2022,,,,394328,,,,,,,,,,,
AAPL,IQ_TOTAL_REV,IQ_FY-2,,,,394328,,,,,,,,,,,
AAPL,IQ_TOTAL_REV,FY2023,,,,383285,,,,,,,,,,,
AAPL,IQ_TOTAL_REV,IQ_FY-1,,,,383285,,,,,,,,,,,
AAPL,IQ_TOTAL_REV,FY2024,,,,391035,,,,,,,,,,,
AAPL,IQ_TOTAL_REV,IQ_FY+0,,,,391035,,,,,,,,,,,
AAPL,IQ_TOTAL_REV,IQ_FY+1,,,,Data Unavailable,,,,,,,,,,,
AAPL,IQ_NI,IQ_FY,,,,,05/28/2025,93736,,,,,,,,,
AAPL,IQ_NI,IQ_FY-4,,,,,,57411,,,,,,,,,
AAPL,IQ_NI,FY2021,,,,,,94680,,,,,,,,,
AAPL,IQ_NI,IQ_FY-3,,,,,,94680,,,,,,,,,
AAPL,IQ_NI,FY2022,,,,,,99803,,,,,,,,,
AAPL,IQ_NI,IQ_FY-2,,,,,,99803,,,,,,,,,
