Identifier,Mnemonic,Period,IQ_COMPANY_NAME,IQ_COMPANY_ID,IQ_ULT_PARENT,IQ_TOTAL_REV,AsOfDate,IQ_NI,IQ_EBITDA,IQ_EBIT,IQ_TOTAL_ASSETS,IQ_TOTAL_LIAB,IQ_CASH_EQUIV,IQ_MARKETCAP,IQ_REVENUE_EST_CIQ,IQ_EBITDA_EST_CIQ,IQ_EPS_EST_CIQ
MSFT,IQ_COMPANY_NAME,,Microsoft Corporation,,,,,,,,,,,,,,
MSFT,IQ_COMPANY_ID,,,IQ21835,,,,,,,,,,,,,
MSFT,IQ_ULT_PARENT,,,,Microsoft Corporation,,,,,,,,,,,,
MSFT,IQ_TOTAL_REV,IQ_FY,,,,245122,05/28/2025,,,,,,,,,,
MSFT,IQ_TOTAL_REV,IQ_FY-4,,,,143015,,,,,,,,,,,
MSFT,IQ_TOTAL_REV,FY2021,,,,168088,,,,,,,,,,,
MSFT,IQ_TOTAL_REV,IQ_FY-3,,,,168088,,,,,,,,,,,
MSFT,IQ_TOTAL_REV,FY2022,,,,198270,,,,,,,,,,,
MSFT,IQ_TOTAL_REV,IQ_FY-2,,,,198270,,,,,,,,,,,
MSFT,IQ_TOTAL_REV,FY2023,,,,211915,,,,,,,,,,,
MSFT,IQ_TOTAL_REV,IQ_FY-1,,,,211915,,,,,,,,,,,
MSFT,IQ_TOTAL_REV,FY2024,,,,245122,,,,,,,,,,,
MSFT,IQ_TOTAL_REV,IQ_FY+0,,,,245122,,,,,,,,,,,
MSFT,IQ_TOTAL_REV,IQ_FY+1,,,,Data Unavailable,,,,,,,,,,,
MSFT,IQ_NI,IQ_FY,,,,,05/28/2025,88136,,,,,,,,,
MSFT,IQ_NI,IQ_FY-4,,,,,,44281,,,,,,,,,
MSFT,IQ_NI,FY2021,,,,,,61271,,,,,,,,,
MSFT,IQ_NI,IQ_FY-3,,,,,,61271,,,,,,,,,
MSFT,IQ_NI,FY2022,,,,,,72738,,,,,,,,,
MSFT,IQ_NI,IQ_FY-2,,,,,,72738,,,,,,,,,
MSFT,IQ_NI,FY2023,,,,,,72361,,,,,,,,,
MSFT,IQ_NI,IQ_FY-1,,,,,,72361,,,,,,,,,
MSFT,IQ_NI,FY2024,,,,,,88136,,,,,,,,,
MSFT,IQ_NI,IQ_FY+0,,,,,,88136,,,,,,,,,
MSFT,IQ_NI,IQ_FY+1,,,,,,Data Unavailable,,,,,,,,,
MSFT,IQ_EBITDA,IQ_FY,,,,,05/28/2025,,129433,,,,,,,,
MSFT,IQ_EBITDA,IQ_FY-4,,,,,,,65259,,,,,,,,
MSFT,IQ_EBITDA,FY2021,,,,,,,80816,,,,,,,,
MSFT,IQ_EBITDA,IQ_FY-3,,,,,,,80816,,,,,,,,
MSFT,IQ_EBITDA,FY2022,,,,,,,97983,,,,,,,,
MSFT,IQ_EBITDA,IQ_FY-2,,,,,,,97983,,,,,,,,
MSFT,IQ_EBITDA,FY2023,,,,,,,102175,,,,,,,,
MSFT,IQ_EBITDA,IQ_FY-1,,,,,,,102175,,,,,,,,
MSFT,IQ_EBITDA,FY2024,,,,,,,129433,,,,,,,,
MSFT,IQ_EBITDA,IQ_FY+0,,,,,,,129433,,,,,,,,
MSFT,IQ_EBITDA,IQ_FY+1,,,,,,,Data Unavailable,,,,,,,,
MSFT,IQ_EBIT,IQ_FY,,,,,5/28/2025,,,109433.000000,,,,,,,
MSFT,IQ_EBIT,IQ_FY-4,,,,,,,,52959.000000,,,,,,,
MSFT,IQ_EBIT,FY2021,,,,,,,,69916.000000,,,,,,,
MSFT,IQ_EBIT,IQ_FY-3,,,,,,,,69916.000000,,,,,,,
MSFT,IQ_EBIT,FY2022,,,,,,,,83383.000000,,,,,,,
MSFT,IQ_EBIT,IQ_FY-2,,,,,,,,83383.000000,,,,,,,
MSFT,IQ_EBIT,FY2023,,,,,,,,88675.000000,,,,,,,
MSFT,IQ_EBIT,IQ_FY-1,,,,,,,,88675.000000,,,,,,,
MSFT,IQ_EBIT,FY2024,,,,,,,,109433.000000,,,,,,,
MSFT,IQ_EBIT,IQ_FY+0,,,,,,,,109433.000000,,,,,,,
MSFT,IQ_EBIT,IQ_FY+1,,,,,,,,Data Unavailable,,,,,,,
MSFT,IQ_TOTAL_ASSETS,IQ_FY,,,,,05/28/2025,,,,512163,,,,,,
MSFT,IQ_TOTAL_ASSETS,IQ_FY-4,,,,,,,,,301311,,,,,,
MSFT,IQ_TOTAL_ASSETS,FY2021,,,,,,,,,333779,,,,,,
MSFT,IQ_TOTAL_ASSETS,IQ_FY-3,,,,,,,,,333779,,,,,,
MSFT,IQ_TOTAL_ASSETS,FY2022,,,,,,,,,364840,,,,,,
MSFT,IQ_TOTAL_ASSETS,IQ_FY-2,,,,,,,,,364840,,,,,,
MSFT,IQ_TOTAL_ASSETS,FY2023,,,,,,,,,411976,,,,,,
MSFT,IQ_TOTAL_ASSETS,IQ_FY-1,,,,,,,,,411976,,,,,,
MSFT,IQ_TOTAL_ASSETS,FY2024,,,,,,,,,512163,,,,,,
MSFT,IQ_TOTAL_ASSETS,IQ_FY+0,,,,,,,,,512163,,,,,,
MSFT,IQ_TOTAL_ASSETS,IQ_FY+1,,,,,,,,,Data Unavailable,,,,,,
MSFT,IQ_TOTAL_LIAB,IQ_FY,,,,,05/28/2025,,,,,243686,,,,,
MSFT,IQ_TOTAL_LIAB,IQ_FY-4,,,,,,,,,,183007,,,,,
MSFT,IQ_TOTAL_LIAB,FY2021,,,,,,,,,,191791,,,,,
MSFT,IQ_TOTAL_LIAB,IQ_FY-3,,,,,,,,,,191791,,,,,
MSFT,IQ_TOTAL_LIAB,FY2022,,,,,,,,,,198298,,,,,
MSFT,IQ_TOTAL_LIAB,IQ_FY-2,,,,,,,,,,198298,,,,,
MSFT,IQ_TOTAL_LIAB,FY2023,,,,,,,,,,205753,,,,,
MSFT,IQ_TOTAL_LIAB,IQ_FY-1,,,,,,,,,,205753,,,,,
MSFT,IQ_TOTAL_LIAB,FY2024,,,,,,,,,,243686,,,,,
MSFT,IQ_TOTAL_LIAB,IQ_FY+0,,,,,,,,,,243686,,,,,
MSFT,IQ_TOTAL_LIAB,IQ_FY+1,,,,,,,,,,Data Unavailable,,,,,
MSFT,IQ_CASH_EQUIV,IQ_FY,,,,,5/28/2025,,,,,,18315.000000,,,,
MSFT,IQ_CASH_EQUIV,IQ_FY-4,,,,,,,,,,,13576.000000,,,,
MSFT,IQ_CASH_EQUIV,FY2021,,,,,,,,,,,14224.000000,,,,
MSFT,IQ_CASH_EQUIV,IQ_FY-3,,,,,,,,,,,14224.000000,,,,
MSFT,IQ_CASH_EQUIV,FY2022,,,,,,,,,,,13931.000000,,,,
MSFT,IQ_CASH_EQUIV,IQ_FY-2,,,,,,,,,,,13931.000000,,,,
MSFT,IQ_CASH_EQUIV,FY2023,,,,,,,,,,,34704.000000,,,,
MSFT,IQ_CASH_EQUIV,IQ_FY-1,,,,,,,,,,,34704.000000,,,,
MSFT,IQ_CASH_EQUIV,FY2024,,,,,,,,,,,18315.000000,,,,
MSFT,IQ_CASH_EQUIV,IQ_FY+0,,,,,,,,,,,18315.000000,,,,
MSFT,IQ_CASH_EQUIV,IQ_FY+1,,,,,,,,,,,Data Unavailable,,,,
MSFT,IQ_MARKETCAP,,,,,,,,,,,,,3424098.633167,,,
MSFT,IQ_REVENUE_EST_CIQ,IQ_FY+1,,,,,,,,,,,,,279041.6971,,
MSFT,IQ_REVENUE_EST_CIQ,IQ_FY+2,,,,,,,,,,,,,316431.46834,,
MSFT,IQ_REVENUE_EST_CIQ,IQ_FY+3,,,,,,,,,,,,,362438.27838,,
MSFT,IQ_REVENUE_EST_CIQ,IQ_FY+4,,,,,,,,,,,,,410641.8,,
MSFT,IQ_REVENUE_EST_CIQ,IQ_FY+5,,,,,,,,,,,,,456400.65,,
MSFT,IQ_EBITDA_EST_CIQ,IQ_FY+1,,,,,,,,,,,,,,155465.98316,
MSFT,IQ_EBITDA_EST_CIQ,IQ_FY+2,,,,,,,,,,,,,,178385.15537,
MSFT,IQ_EBITDA_EST_CIQ,IQ_FY+3,,,,,,,,,,,,,,205090.38562,
MSFT,IQ_EBITDA_EST_CIQ,IQ_FY+4,,,,,,,,,,,,,,230071.95,
MSFT,IQ_EBITDA_EST_CIQ,IQ_FY+5,,,,,,,,,,,,,,280258,
MSFT,IQ_EPS_EST_CIQ,IQ_FY+1,,,,,,,,,,,,,,,13.38589
MSFT,IQ_EPS_EST_CIQ,IQ_FY+2,,,,,,,,,,,,,,,15.08985
MSFT,IQ_EPS_EST_CIQ,IQ_FY+3,,,,,,,,,,,,,,,17.66638
MSFT,IQ_EPS_EST_CIQ,IQ_FY+4,,,,,,,,,,,,,,,20.76
MSFT,IQ_EPS_EST_CIQ,IQ_FY+5,,,,,,,,,,,,,,,23.875
