Identifier,Mnemonic,Period,IQ_COMPANY_NAME,IQ_COMPANY_ID,IQ_ULT_PARENT,IQ_TOTAL_REV,AsOfDate,IQ_NI,IQ_EBITDA,IQ_EBIT,IQ_TOTAL_ASSETS,IQ_TOTAL_LIAB,IQ_CASH_EQUIV,IQ_MARKETCAP,IQ_REVENUE_EST_CIQ,IQ_EBITDA_EST_CIQ,IQ_EPS_EST_CIQ
NKE,IQ_COMPANY_NAME,,"NIKE, Inc.",,,,,,,,,,,,,,
NKE,IQ_COMPANY_ID,,,IQ291981,,,,,,,,,,,,,
NKE,IQ_ULT_PARENT,,,,"NIKE, Inc.",,,,,,,,,,,,
NKE,IQ_TOTAL_REV,IQ_FY,,,,51362,05/28/2025,,,,,,,,,,
NKE,IQ_TOTAL_REV,IQ_FY-4,,,,37403,,,,,,,,,,,
NKE,IQ_TOTAL_REV,FY2021,,,,44538,,,,,,,,,,,
NKE,IQ_TOTAL_REV,IQ_FY-3,,,,44538,,,,,,,,,,,
NKE,IQ_TOTAL_REV,FY2022,,,,46710,,,,,,,,,,,
NKE,IQ_TOTAL_REV,IQ_FY-2,,,,46710,,,,,,,,,,,
NKE,IQ_TOTAL_REV,FY2023,,,,51217,,,,,,,,,,,
NKE,IQ_TOTAL_REV,IQ_FY-1,,,,51217,,,,,,,,,,,
NKE,IQ_TOTAL_REV,FY2024,,,,51362,,,,,,,,,,,
NKE,IQ_TOTAL_REV,IQ_FY+0,,,,51362,,,,,,,,,,,
NKE,IQ_TOTAL_REV,IQ_FY+1,,,,Data Unavailable,,,,,,,,,,,
NKE,IQ_NI,IQ_FY,,,,,05/28/2025,5700,,,,,,,,,
NKE,IQ_NI,IQ_FY-4,,,,,,2539,,,,,,,,,
NKE,IQ_NI,FY2021,,,,,,5727,,,,,,,,,
NKE,IQ_NI,IQ_FY-3,,,,,,5727,,,,,,,,,
NKE,IQ_NI,FY2022,,,,,,6046,,,,,,,,,
NKE,IQ_NI,IQ_FY-2,,,,,,6046,,,,,,,,,
NKE,IQ_NI,FY2023,,,,,,5070,,,,,,,,,
NKE,IQ_NI,IQ_FY-1,,,,,,5070,,,,,,,,,
NKE,IQ_NI,FY2024,,,,,,5700,,,,,,,,,
NKE,IQ_NI,IQ_FY+0,,,,,,5700,,,,,,,,,
NKE,IQ_NI,IQ_FY+1,,,,,,Data Unavailable,,,,,,,,,
NKE,IQ_EBITDA,IQ_FY,,,,,05/28/2025,,7598,,,,,,,,
NKE,IQ_EBITDA,IQ_FY-4,,,,,,,4234,,,,,,,,
NKE,IQ_EBITDA,FY2021,,,,,,,8028,,,,,,,,
NKE,IQ_EBITDA,IQ_FY-3,,,,,,,8028,,,,,,,,
NKE,IQ_EBITDA,FY2022,,,,,,,7515,,,,,,,,
NKE,IQ_EBITDA,IQ_FY-2,,,,,,,7515,,,,,,,,
NKE,IQ_EBITDA,FY2023,,,,,,,6774,,,,,,,,
NKE,IQ_EBITDA,IQ_FY-1,,,,,,,6774,,,,,,,,
NKE,IQ_EBITDA,FY2024,,,,,,,7598,,,,,,,,
NKE,IQ_EBITDA,IQ_FY+0,,,,,,,7598,,,,,,,,
NKE,IQ_EBITDA,IQ_FY+1,,,,,,,Data Unavailable,,,,,,,,
NKE,IQ_EBIT,IQ_FY,,,,,5/28/2025,,,6754.000000,,,,,,,
NKE,IQ_EBIT,IQ_FY-4,,,,,,,,3115.000000,,,,,,,
NKE,IQ_EBIT,FY2021,,,,,,,,7231.000000,,,,,,,
NKE,IQ_EBIT,IQ_FY-3,,,,,,,,7231.000000,,,,,,,
